"","Phylum","Subphylum","Superclass","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Custom.Subfamily","Tribe","Genus.Group","Subtribe","Genus","Species.Group","Subgenus","Species","Subspecies","Fine_STE","Fine_STE_rank"
"1","Porifera","ZZZ","ZZZ","Demospongiae","ZZZ","ZZZ","ZZZ","Hadromerida","ZZZ","ZZZ","ZZZ","Suberitidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Aaptos","ZZZ","ZZZ","ZZZ","ZZZ","Aaptos","Genus"
"68","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Odonata","Anisoptera","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Anisoptera","Suborder"
"81","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Odonata","Zygoptera","ZZZ","ZZZ","Lestidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Archilestes","ZZZ","ZZZ","ZZZ","ZZZ","Archilestes","Genus"
"166","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Odonata","Zygoptera","ZZZ","ZZZ","Calopterygidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Calopterygidae","Family"
"167","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Odonata","Zygoptera","ZZZ","ZZZ","Calopterygidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Calopteryx","ZZZ","ZZZ","ZZZ","ZZZ","Calopteryx","Genus"
"275","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Odonata","Anisoptera","ZZZ","ZZZ","Cordulegastridae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Cordulegastridae","Family"
"277","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","Neuropterida","Megaloptera","ZZZ","ZZZ","ZZZ","Corydalidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Corydalidae","Family"
"419","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Odonata","Anisoptera","ZZZ","ZZZ","Corduliidae","Corduliinae","ZZZ","ZZZ","ZZZ","ZZZ","Epitheca","ZZZ","ZZZ","ZZZ","ZZZ","Epitheca","Genus"
"459","Ectoprocta","ZZZ","ZZZ","Gymnolaemata","ZZZ","ZZZ","ZZZ","Cheilostomata","Anasca","ZZZ","ZZZ","Flustridae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Flustra","ZZZ","ZZZ","ZZZ","ZZZ","Flustra","Genus"
"555","Ectoprocta","ZZZ","ZZZ","Gymnolaemata","ZZZ","ZZZ","ZZZ","Cyclostomata","Cerioporina","ZZZ","ZZZ","Heteroporidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Heteropora","ZZZ","ZZZ","pacifica","ZZZ","Heteropora pacifica","Species"
"562","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Hymenoptera","Apocrita","Terebrantes","Cynipoidea","Figitidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Hexacola","ZZZ","ZZZ","ZZZ","ZZZ","Hexacola","Genus"
"634","Porifera","ZZZ","ZZZ","Demospongiae","ZZZ","ZZZ","ZZZ","Astrophorida","ZZZ","ZZZ","ZZZ","Geodiidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Isops","ZZZ","ZZZ","ZZZ","ZZZ","Isops","Genus"
"831","Arthropoda","Crustacea","ZZZ","Malacostraca","Eumalacostraca","ZZZ","Peracarida","Mysida","ZZZ","ZZZ","ZZZ","Mysidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Neomysis","ZZZ","ZZZ","ZZZ","ZZZ","Neomysis","Genus"
"844","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","Neuropterida","Neuroptera","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Neuroptera","Order"
"856","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Odonata","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Odonata","Order"
"862","Porifera","ZZZ","ZZZ","Demospongiae","ZZZ","ZZZ","ZZZ","Dictyoceratida","ZZZ","ZZZ","ZZZ","Thorectidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Oligoceras","ZZZ","ZZZ","ZZZ","ZZZ","Oligoceras","Genus"
"890","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","ZZZ","ZZZ","Megaloptera","ZZZ","ZZZ","ZZZ","Corydalidae","Chauliodinae","ZZZ","ZZZ","ZZZ","ZZZ","Orohermes","ZZZ","ZZZ","ZZZ","ZZZ","Orohermes","Genus"
"910","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Hymenoptera","Apocrita","Aculeata","Apoidea","Colletidae","Euryglossinae","ZZZ","ZZZ","ZZZ","ZZZ","Pachyprosopis","ZZZ","Parapachyprosopis","ZZZ","ZZZ","Pachyprosopis (Parapachyprosopis)","Subgenus"
"1020","Porifera","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Porifera","Phylum"
"1289","Platyhelminthes","Rhabditophora","ZZZ","Trepaxonemata","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Trepaxonemata","Class"
"1290","Platyhelminthes","Rhabditophora","ZZZ","Trepaxonemata","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Trepaxonemata","Class"
"1291","Platyhelminthes","Rhabditophora","ZZZ","Trepaxonemata","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Trepaxonemata","Class"
"1292","Platyhelminthes","Rhabditophora","ZZZ","Trepaxonemata","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Trepaxonemata","Class"
"1293","Platyhelminthes","Rhabditophora","ZZZ","Trepaxonemata","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Trepaxonemata","Class"
"1378","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Odonata","Zygoptera","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Zygoptera","Suborder"
